,clubUrl,clubPurpose
23,https://studentorg.ucsd.edu/Home/Details/9598,To promote interest in the field of aeronautics and astronautics.
24,https://studentorg.ucsd.edu/Home/Details/8545,"To provide chemical engineering students with the most beneficial experience at UCSD through industry, career-building, and social events. We seek to promote academic, social, and professional growth for the chemical engineering community."
25,https://studentorg.ucsd.edu/Home/Details/8526,"UCSD AMSA pre-medical chapter is dedicated to providing valuable resources for pre-medical students here at UCSD, as well as presenting opportunities for involvement in the health-care community. We provide a wide variety of events from networking with physicians to community service opportunities to our annual health fair for an underserved San Diego community as well as socials for our pre-med members."
26,https://studentorg.ucsd.edu/Home/Details/8427,"The American Mock World Health Organization (AMWHO) is the only model-WHO entity in the United States of America. AMWHO aims to increase discourse on global health policy through creating authentic simulations of the World Health Assembly, the sole decision- making body of the World Health Organization. Participants assume the role of a WHO- Ambassador, Non-Governmental Organization Representative, or Media Correspondent, and form health-related positions to create a final resolution sent to the WHO in Geneva, Switzerland."
27,https://studentorg.ucsd.edu/Home/Details/8540,"The purpose of ASME at UCSD is to provide for its members a wholesome mechanical engineering experience with events, projects and programs that enrich students’ knowledge and fuel passion for the engineering world. The ASME will also promote development of an ethical, community conscientious student and future engineer."
28,https://studentorg.ucsd.edu/Home/Details/9629,"The Anthropology Club strives to maximize student involvement in anthropology, link students with faculty, provide a sense of support and community, raise awareness of anthropological issues, connect undergrads and grad students with career boosting opportunities, network within and beyond, and foster an inclusive environment conducive to personal and professional growth within the subfields of archaeology, sociocultural anthropology, and biological anthropology."
29,https://studentorg.ucsd.edu/Home/Details/10755,The APD Consulting Club at UCSD has the following objectives: • To inform graduate-level students about possible careers in consulting • Prepare graduate-level students to attain consulting jobs • Provide a career building resource focused on consulting • Create an alumni network of advanced professional degree consultants from UCSD
30,https://studentorg.ucsd.edu/Home/Details/10843,To build and sustain a community that gathers to practice and promote Argentine Tango at UCSD.
31,https://studentorg.ucsd.edu/Home/Details/8477,To promote the cultural aspect of taiko to any entities interested in the art form. To promote awareness of taiko on the UCSD campus and in the San Diego community through performances and other events. To help promote awareness of taiko at a national level through cooperation with other organizations such as other taiko groups.
32,https://studentorg.ucsd.edu/Home/Details/10687,"Ascension was founded in 1999 and embraces the principles of community in order to create a family for our members. As UCSD's longest-running competitive hip hop dance team, we strive to become better than the team we were yesterday by learning from and inspiring one another."
33,https://studentorg.ucsd.edu/Home/Details/8419,"Asha for Education at UCSD is an offset of the Asha for Education foundation, a non-profit organization dedicated to the support of basic education in rural India. ""Asha"", which means ""hope"" in many Indian dialects, was founded at the University of California, Berkeley in 1991 and has since grown to over 50 chapters scattered throughout the United States, Europe, East Asia and India. Each of these chapters raises funds to support various education-related projects in India. Since its inception, Asha has partnered with more than 800+ NGOs from across 24 states in India and has disbursed in excess of $32 million. In 2014 alone, Asha has disbursed $2.85 million and has supported the education of 250,000+ kids in India directly and many hundreds of thousands more indirectly."
34,https://studentorg.ucsd.edu/Home/Details/8558,"The mission of Asian American Christian Fellowship (AACF) is to reach into the university and collegiate community, primarily to those who are Asian Pacific Americans, with the life-changing message of Jesus Christ. ~ you don't gotta be Asian, or American, or Christian to come check us out! :)"
35,https://studentorg.ucsd.edu/Home/Details/8391,"We, the students of University of California at San Diego (UCSD), come together to provide a forum to deal combat the problems and concerns of UCSD Asian and Pacific-Islander (API) students, especially those deemed “underrepresented” by the Student Affirmative Action Committee (SAAC); to try to create an environment where issues such as those political, educational, cultural and social can be addressed; to increase awareness about our API history and heritage within the university and the community; to unite as a community resource to represent a common voice and thereby empower ourselves; and to serve as a support network for building bonds and addressing differences between students. The Asian and Pacific-Islander Student Alliance is a non-profit organization."
36,https://studentorg.ucsd.edu/Home/Details/8350,To foster a community devoted to computing and help students interested in the field develop their technical skills and professional networks.
37,https://studentorg.ucsd.edu/Home/Details/11922,"Specific goals for this chapter are to 1. build community for women in mathematics, 2. provide mentorship for UCSD’s women in mathematics, 3. attract more diverse candidates to our graduate programs, and 4. create and maintain connections with other chapters of AWM. We believe achieving our goals will directly and positively impact our ability to support, retain, and attract talented women in our mathematics programs."
38,https://studentorg.ucsd.edu/Home/Details/12062,To conduct events based on Indian culture and provide a congenial atmosphere for students belonging to the Indian community.
39,https://studentorg.ucsd.edu/Home/Details/10733,"The purpose of this association shall be the development, promotion, and enhancement of the knowledge of pharmacy in the community, all in harmony with the educational interests of the University of California, San Diego Skaggs School of Pharmacy."
40,https://studentorg.ucsd.edu/Home/Details/10738,"Astronomy Club at UCSD aims to promote the interest of astronomy and astrophysics among UCSD undergraduates. Our organization will focus on the exploration of the universe. We hope to help students, who are interested in astronomy, make observations, know each other and get more access to professional faculty."
41,https://studentorg.ucsd.edu/Home/Details/11971,Atutu is a student organization focused on co-creating projects in tandem with communities in developing nations. We seek to work with local communities in co-designing and implementing solutions to topics our partner communities have identified as important.
42,https://studentorg.ucsd.edu/Home/Details/10653,To promote awareness about The Baha'i Faith and promote the unity of mankind.
43,https://studentorg.ucsd.edu/Home/Details/11989,"Basic Life Support Program is a prestigious program established in 2014 that specializes in instructing Basic Life Support (BLS) through the American Heart Association and certifying individuals that complete the course. This program is a committee within the Alpha Epsilon Delta honor society that allows the acquirement of not only profit, leadership experience, and the growth of the organization, but ultimately provides a concrete difference between Alpha Epsilon Delta and other health related organizations."
44,https://studentorg.ucsd.edu/Home/Details/8524,To provide a fun and lively atmosphere to continue our passion for a cappella music at the collegiate level; to immerse members into the a cappella community on-campus and beyond; to strengthen and improve vocal and musical ability; to provide entertaining performances; and to foster close-knit relationships within the group.
45,https://studentorg.ucsd.edu/Home/Details/11917,To develop men of principle for a principled life.
46,https://studentorg.ucsd.edu/Home/Details/10770,The Bhagat Puran Singh Health Initiative aims to eliminate health and social misconceptions within underserved and underprivileged populations by providing access to health education and free health clinics for the betterment of the body.
47,https://studentorg.ucsd.edu/Home/Details/8397,"The Bioengineering Graduate Society (BEGS) aims to be an interface for bioengineering graduate students at UC San Diego, their department, and the local community. Since its creation in 1994, the BEGS mission is to foster professional, educational, and social development opportunities through relationships with industry, alumni, and students. BEGS is a graduate student-run organization with the aid of the Bioengineering Department."
48,https://studentorg.ucsd.edu/Home/Details/8515,"With nearly 20 percent of the UCSD undergraduate population declared as biology majors, the Biological Sciences Student Association (BSSA) plays a crucial role in expanding opportunities and enhancing the overall educational and social experiences of these students during their time here. In addition, BSSA assists in preparing students for a wide range of career opportunities."
49,https://studentorg.ucsd.edu/Home/Details/8498,"To foster the growth of students interested in biomedical engineering through professional development and the mutual engaging of industry, alumni, and the local community."
50,https://studentorg.ucsd.edu/Home/Details/10731,"The Bio-Optimization Society at UCSD (BIOS) aims to provide an open forum for education about and discussion of bio-optimization strategies, research, and current events with students and faculty through academic opportunities, talks and other activities. We define bio-optimization as the use of targeted supplementation, nutrition, exercise, biorhythm-tracking technologies, personalized genomics, and other strategies to improve one's cognition and overall health. The Bio-Optimization Society at UCSD will empower its members to improve their quality of life through applied knowledge of various strategies for physiological self-improvement."
51,https://studentorg.ucsd.edu/Home/Details/8539,"Conceived in 1967, the Black Student Union at UC San Diego is charged with four fundamental responsibilities: 1. Access, retention, and yield programming to inspire, enlighten, to build unity, to challenge, and to perpetuate the ideologies of the Black Student Union at UCSD 2. To support the efforts of those organizations which perpetuate the ideologies of the Black Student Union 3. To assist in providing an environment that is conducive to academic excellence amongst the Black student population 4. To be accountable through representation."
52,https://studentorg.ucsd.edu/Home/Details/10666,"The purpose of the Board Game Club is to bring members of the board game community together and create a social setting to play, create, and discuss strategies to board games."
53,https://studentorg.ucsd.edu/Home/Details/10676,Our mission is to re-humanize inmates and reduce recidivism rates within the San Diego community. We believe that facilitating book groups with prisoners can aid in this process by promoting healthy human interaction. Interactions among inmates and between inmates and volunteers can help build or re-build prisoners’ ability to function with other people. It can also help to re-humanize inmates who have by making prisoners feel heard and instilling self-worth. We hope that these skills and values make it easier for prisoners to re-enter society and thus prevent them from committing further crimes.
54,https://studentorg.ucsd.edu/Home/Details/10677,Books For Prisoners sends books and resources to prisoners in California.
55,https://studentorg.ucsd.edu/Home/Details/8389,Uniting Brazilian students all over UCSD
56,https://studentorg.ucsd.edu/Home/Details/10740,"BC Productions aims to help students, faculty, and other organizations produce a variety of media, while providing members with hands on experience in multiple fields of production, and opportunities to engage with media professionals."
57,https://studentorg.ucsd.edu/Home/Details/8484,"Established in 2003, Bodyrock is UCSD's first and only breaking club. Our goal is to promote the hip hop culture by teaching breaking to beginners, providing practice space for local bboys and bgirls, and showcasing our skills through performances and battles. Bodyrock hopes to entertain and inspire with our combination of athleticism and musicality."
58,https://studentorg.ucsd.edu/Home/Details/11938,"The purpose of this organization is to bring together the British student community and others interested in Great Britain together. The organization strives to practice and present British culture through social outings, historical cultural events, and British food."
59,https://studentorg.ucsd.edu/Home/Details/10659,"Business Council is organized to foster an integrated business community between student organizations, administrative bodies, and outside parties."
60,https://studentorg.ucsd.edu/Home/Details/8393,To present Japanese animation subtitled in English to Members of the club. We intend to engender a social atmosphere in which members can enjoy anime and learn about Japanese culture.
61,https://studentorg.ucsd.edu/Home/Details/8505,"The mission of the UCSD, Skaggs School of Pharmacy and Pharmaceutical Sciences, Student Society of Health-System Pharmacists is to make students aware of pharmacy practice in health systems and the potential of this setting for expanding the base of pharmacy practice, provide information to students about career directions in and credentials needed for pharmacy practice in health systems."
62,https://studentorg.ucsd.edu/Home/Details/8551,The purpose of the club is to organize students to participate in Call of Cthulhu and Murder Mystery Game. Members will be provided with access to participate in both “face to face” role play games to enhance social interactivity.
63,https://studentorg.ucsd.edu/Home/Details/11870,"We believe in the power of students to change our world. Our organizers and students work together to create a greener, healthier, more meaningful future -- on campus, in our community, and across our state and country. We have a two-fold mission to win positive reforms on issues that affect us and our society and to train students to be engaged in civics and democracy."
64,https://studentorg.ucsd.edu/Home/Details/8438,"We, a non-profit organization called the Cambodian Student Association (CSA), believe that by (1) building and strengthening identification of the Cambodian culture among fellow members, students and community at large, (2) offering consistent academic, social and moral encouragement through activities and community service and (3) developing social networks that will assist us during our time in college and in our lives thereafter, we will have established rare relationships and support systems based on common principles and values with fellow members who share common interests."
65,https://studentorg.ucsd.edu/Home/Details/10815,"Camp HOPE America at UCSD members are a part of helping San Diego teens and young children exposed to trauma and domestic violence find pathways to HOPE and healing through a camping and year-round mentoring program. In partnership with the national evidence-based organization Camp HOPE America, members explore trauma informed mentoring, fundraising for community activities, and professional development. Through this club, our members become a network of hope givers who help break the cycle of domestic violence."
66,https://studentorg.ucsd.edu/Home/Details/8497,Camp Kesem at UCSD provides a free summer camp to children ages 6-18 in the San Diego community who have/had a parent with cancer.
67,https://studentorg.ucsd.edu/Home/Details/10669,"Win, Build, and Send: turning lost students into Christ-centered laborers."
68,https://studentorg.ucsd.edu/Home/Details/10793,"Our goal is to reduce cancer morbidity and mortality among the Pan-Asian community by educating UCSD students about appropriate cancer control measures and providing opportunities for those students to disseminate their acquired knowledge to the pan-Asian community at-large. Our team is a non-profit, student- run organization and has been operating continuously since 1994."
69,https://studentorg.ucsd.edu/Home/Details/9614,"We are students, alumni, faculty and staff at UCSD, as well as young adults and residents of the surrounding area who celebrate life together as the Catholic Community at UCSD. We feel at home in this community and are free to experience Christ's presence in the Word, in the Eucharist and in each other. Hospitality and welcome are hallmarks of our community. We are passionate about living the Gospel in the context of our Catholic faith."
70,https://studentorg.ucsd.edu/Home/Details/10665,"We, the Catholics for Social Justice at UCSD, as an affiliate of the Newman Center Catholic Community at UCSD, a mission of the Roman Catholic Bishop of San Diego, have a mission to spread God’s love and to care for our brothers and sisters in Christ through community service, education, and support for the San Diego community, as well as communities across the Mexican border."
71,https://studentorg.ucsd.edu/Home/Details/9649,The positive transformation of the Global Community by developing “Servant Leaders of Integrity” and helping transform the lives of university students.
72,https://studentorg.ucsd.edu/Home/Details/9647,"To promote service, academic development, leadership, and a sense of community among recipients of the UCSD Chancellor’s Scholarship through volunteer and community service opportunities, social events, and organized meetings."
73,https://studentorg.ucsd.edu/Home/Details/10813,"The Che Cafe is a community space for both the greater San Diego community and the University of California, San Diego. We identify this space as ""Do It Yourself"" venue, vegan cafe, resource center for radical grassroots activists. Furthermore, we open this space to people who would like to add to the space while at the same time dismantle hierarchies. The Che Cafe Collective organizes numerous political and social events for all ages and allows vegan groups to serve tasty vegan food."
74,https://studentorg.ucsd.edu/Home/Details/8413,"Chem-E-Car Project, centered within the NanoEngineering department, aims to provide chemical engineering students with the opportunity to participate in a team-oriented hands-on design and construction of a small chemical powered model car. In addition, it helps increase awareness of the chemical engineering discipline among the general public, industry leaders, educators and other students."
75,https://studentorg.ucsd.edu/Home/Details/11995,To promote and encourage chess on campus by creating an intellectually challenging environment by introducing regular chess meetings and tournaments to UCSD.
76,https://studentorg.ucsd.edu/Home/Details/8592,"Chi Omega is a Panhellenic sorority forever committed to its founding purposes of friendship, personal integrity, service to others, academic excellence and intellectual pursuits, community and campus involvement, and personal and career development."
77,https://studentorg.ucsd.edu/Home/Details/10664,"We are a pre-health undergraduate organization that is committed to providing support, guidance, and education in our pursuit for higher education in medicine. Our beliefs are deeply rooted in providing better health care for our underserved communities through service and empowerment."
78,https://studentorg.ucsd.edu/Home/Details/10785,"CEN-UCSD aims to develop leadership, facilitate innovation and encourage entrepreneurship for a better future, which shall be culturally viable, economically prosperous, and environmentally sustainable. Particularly, the CEN-UCSD devotes to explore effective strategies and opportunities of social businesses and provide UCSD students a platform to exercise social entrepreneurship and leadership."
79,https://studentorg.ucsd.edu/Home/Details/8593,"The Chinese American Student Association (CASA) is a cultural, social, and community service oriented organization, striving to promote the Chinese American culture throughout UCSD and its surrounding community. Founded in 1972 at the University of California - San Diego, CASA is an organization that serves to unite all those with a love of the Chinese culture under a common banner in order to forge life-long friendships and to explore the 5,000-year-old Chinese culture."
80,https://studentorg.ucsd.edu/Home/Details/10672,"As a dance team, we strive to promote dancing on stage as an enjoyable form of art. We bring together people of different cultures, backgrounds, and disciplines, and connect through varying styles of dance, music, and choreography. Chinese Classic Dance Team, as a registered organization at UC San Diego, is committed to promoting a safe and vibrant campus community. No individual or group affiliated with Chinese Classic Dance Team will take any action or create a situation which recklessly or intentionally endangers mental or physical health or involves the forced consumption of liquor or drugs for the purpose of initiation into or affiliation with this organization. The leaders and members of the Chinese Classic Dance Team also agree to abide by all aspects of the UC San Diego Student Conduct Code, University policies and Federal, California State and Local laws."
81,https://studentorg.ucsd.edu/Home/Details/8602,"To create a technology-driven business incubator and serve students related to computer fields with opportunities in professional working environment, strengthen technical skills and seek business growth."
82,https://studentorg.ucsd.edu/Home/Details/10758,"To enrich the student community of UCSD with the awareness of Chinese culture through the art of dance. Our purpose is to create an atmosphere of artistic and creative expression for everyone. CDA practices Chinese dance with emphasis on ballet techniques, but continues to keep the essence of Chinese culture in the pieces. In order to spread multi-cultural acknowledgemnt, CDA uses dance to celebrate the individual creativity and artistic collaboration."
83,https://studentorg.ucsd.edu/Home/Details/10732,"The purpose of this club is to establish a Chinese culture proposing drama club, providing Chinese culture in the form of artistic activities for UCSD communities, and even the entire San Diego area."
84,https://studentorg.ucsd.edu/Home/Details/12032,"The main purpose of Chinese Engineering Society (CES) at UCSD is to promote academic excellence and entrepreneurship among researchers and students in Chinese ethnicity. We aim to help maintain the diverse, inspirational environment in UCSD by providing opportunities in career network, professional development and academic communications, and furthermore encouraging the society members to contribute to the greater community through innovative ideas and projects."
85,https://studentorg.ucsd.edu/Home/Details/9605,To help incoming new international students from China blend into America's multi-cultural society. Help Chinese student to understand other cultures and shorten the gaps between races and nations due to inexperience and misunderstandings. Also to provide convenient services to Chinese students and protect their safety.
86,https://studentorg.ucsd.edu/Home/Details/10688,Promoting Chinese culture and building a stronger bond within the UCSD Chinese American community.
87,https://studentorg.ucsd.edu/Home/Details/8536,"1. Fellowship Since Christian students have a common purpose, it follows that they should meet together for encouragement, edification, uplifting, and sharing. The scientific training involved in pharmacy education may stem from a humanist/agnostic philosophy. Therefore, regular meetings of Christians can help students maintain perspective on the “big picture” God has planned for mankind as He revealed in the Bible. 2. Bible Study/Discussion/Prayer The need to examine, study, and struggle with social/medical issues has never been greater. Faith rooted in Scripture builds firm convictions about God, man, lifestyle, human relationships, purpose of science, and the nature of a profession. Christian principles taught through the Bible equip pharmacy students to become compassionate pharmacists that go above and beyond to care for the entire patient by meeting their physical, emotional, and spiritual needs. Times of discussion encourage growth of the chapter through shared experiences and individual insights. Prayer helps the chapter to remain dependent on God. 3. Ministry Projects A young attorney once asked Jesus a test question in an attempt to entrap him. “What shall I do to inherit eternal life?” Jesus responded with a question of his own. “You know the Law. How do you read it? Sum it up in one sentence.” The young attorney quickly answered, “You shall love the Lord your God with all your heart, with all your soul, with all your strength, and with all your mind; and your neighbor as yourself.” (Luke 10:25-29 and Mark 10:17) Jesus complimented the attorney on his succinct answer and told him to do just as he had answered. One of the characteristics of our society today is the rapid decline of a sense of community in tandem with an epidemic of autonomy. One does not have to travel far to do mission work; many opportunities are available in every community. Wherever God has placed you is your mission field and even closer to “home” are those who sit next to you in class every day. Remember that we are told to start at home (Jerusalem), then work with interfacing cultures (Judea and Samaria), and then distant cultures (ends of the earth). 4. Witness “But you will receive power when the Holy Spirit comes on you; and you will be my witnesses in Jerusalem, and in all Judea and Samaria, and to the ends of the earth.” Acts 1:8 Every one of us is a witness for Jesus Christ. The question is, “Are we effective?” Student chapters should consider evangelism as individuals and as a chapter. The chapter should be a source of strength and encouragement for personal outreach. There is another facet to our Christian witness: The individual who sees himself/herself called by God and who knows Jesus Christ as the Lord of all creation is vitally concerned about this world and its values and priorities. Our witness involves not only a verbal declaration of the saving power of Jesus Christ, but a promotion of Christian alternatives to secularism and other “isms” which are dehumanizing and degrading to man. The Christian view of life has more than a passing relevance to a discipline concerned with life, death, and the person. A chapter genuinely concerned with its witness must seek to let its light radiate forth in the midst of the healthcare community, piercing every facet. 5. Worship “Shout for joy to the LORD, all the earth. Worship the LORD with gladness; come before him with joyful songs. Know that the LORD is God. It is he who made us, and we are his; we are his people, the sheep of his pasture. Enter his gates with thanksgiving and his courts with praise; give thanks to him and praise his name. For the LORD is good and his love endures forever; his faithfulness continues through all generations.” Psalm 100 Though worship may not be the primary goal of our student chapter, it will be difficult to meet regularly as Christians and not spend some time worshiping our Heavenly Father. Worship will often unify a student chapter as no other activity can, and it is greatly encouraged where ever Christians gather."
88,https://studentorg.ucsd.edu/Home/Details/8493,To provide Christian fellowship at UCSD
89,https://studentorg.ucsd.edu/Home/Details/8446,"Circle K International is comprised of university students who are responsible citizens and leaders with a lifelong commitment to community service worldwide. Through the three tenets of Service, Leadership, and Fellowship, Circle K inspires people to better our world, following the motto of ""Live to Serve, Love to Serve."" Circle K provides constructive opportunities for students to become involved on their campuses and communities through service work to others in need."
90,https://studentorg.ucsd.edu/Home/Details/8374,"The goal of this organization is to offer a forum for political and philosophical inquiry. The organization seeks to promote free speech, civil discourse, and open criticism of all ideas. Organization members are offered a platform to share and discuss their ideas with others."
91,https://studentorg.ucsd.edu/Home/Details/10654,"Aid Cognitive Science student body through academic, professional, and social means; Engage graduate population and faculty of the Cognitive Science Department."
92,https://studentorg.ucsd.edu/Home/Details/8369,"The purpose of the College Democrats, a non-profit organization, is to educate students about the philosophy of the Democratic Party, promote campus discussion of issues of concern to students and the nation at large, foster involvement in political movements, and affect political change on a local, state, and national level"
93,https://studentorg.ucsd.edu/Home/Details/9623,The College Republicans at UCSD strive to enhance principles of the Republican Party in the UCSD community. We encourage the advancement of the Republican Party through aiding elections at all levels of government. Further we promote a forum for political discussion open to all viewpoints. We also seek to serve the UCSD community through various volunteer efforts. The College Republicans at UCSD aims to build leadership abilities in students to serve the community and party.
94,https://studentorg.ucsd.edu/Home/Details/8535,"Colleges Against Cancer is a non-profit nationwide collaboration of college students, faculty, and staff dedicated to eliminating cancer by initiating and supporting programs for cancer education in college communities. We accomplish this through our four strategic directions: Cancer Education, Advocacy, Relay For Life, and Survivorship."
95,https://studentorg.ucsd.edu/Home/Details/8489,"The purpose of the club is to foster community between comic: creators, artists, writers, readers, and enthusiasts"
96,https://studentorg.ucsd.edu/Home/Details/11890,"Community Leadership Through Service seeks to assist underrepresented communities on the UC San Diego campus as well as the greater San Diego area through events, workshops, and volunteering."
97,https://studentorg.ucsd.edu/Home/Details/10747,"Sponsored by top tech companies and working closely with the CSE department, the Computer Science and Engineering Society provides opportunities to students beyond what they get in the classroom. These include company sponsored events to help you get internships and jobs, workshops to improve your technical skills, social events to build your network, and events that allow you to interact with CSE department faculty and staff! We are open to all students with an interest in computing, not just CSE majors!"
98,https://studentorg.ucsd.edu/Home/Details/8569,"The goal of CSA is to enable students interested in a variety of fields to connect and engage on solving a singular goal – how to bring aspects of gardening and farming into the 21st century, through the engagement of computer science, engineering, and data sciences majors. CSA will work alongside Roger’s Community Garden (formerly North County Community Garden) to host student projects relating to agriculture, food waste, bioenergy, and sustainability-oriented projects. Members of the organization can hope to gain skills in hardware and software design, soldering, data science, biology, chemistry, etc. Members are not required to have any background knowledge, as CSA and its partners are more than happy to help get interested members up to speed."
